factor,IC,selected,abs_IC
SUMD30,-0.0022115623240803,False,0.0022115623240803
SUMN30,0.0022115623240789,False,0.0022115623240789
SUMP5,-0.0021687970161065,False,0.0021687970161065
SUMD5,-0.0021687970161044,False,0.0021687970161044
SUMN5,0.0021687970161024,False,0.0021687970161024
MA30,-0.0021664100614986,False,0.0021664100614986
CNTD30,-0.0021069907064079,False,0.0021069907064079
KMID2,-0.0020610994326969,False,0.0020610994326969
QTLD10,0.0020229011244298,False,0.0020229011244298
IMIN60,0.0019321506654534,False,0.0019321506654534
ROC10,0.0017121554723313,False,0.0017121554723313
QTLD60,-0.0017110383657437,False,0.0017110383657437
KLOW,0.0016999556970166,False,0.0016999556970166
RSQR60,0.0016790846974548,False,0.0016790846974548
CNTD20,0.0016784078582637,False,0.0016784078582637
ROC60,-0.0016756260116088,False,0.0016756260116088
QTLD20,-0.001669859818012,False,0.001669859818012
CNTN10,0.0016244613921674,False,0.0016244613921674
HIGH0,-0.0016200525786833,False,0.0016200525786833
CNTN60,-0.0015875384975794,False,0.0015875384975794
ROC20,-0.0015087708390783,False,0.0015087708390783
STD10,0.0014305749549751,False,0.0014305749549751
CORD10,-0.0013508789071464,False,0.0013508789071464
CORD20,-0.001306209603861,False,0.001306209603861
CORD60,0.0012590450965267,False,0.0012590450965267
QTLD30,-0.0012091281891559,False,0.0012091281891559
SUMP20,-0.0011482088405466,False,0.0011482088405466
SUMD20,-0.001148208840545,False,0.001148208840545
SUMN20,0.0011482088405433,False,0.0011482088405433
IMXD20,-0.0011374694000372,False,0.0011374694000372
VSUMN10,0.0011011640534382,False,0.0011011640534382
VSUMD10,-0.0011011640534382,False,0.0011011640534382
VSUMP10,-0.0011011640534382,False,0.0011011640534382
MIN30,-0.0010446287958559,False,0.0010446287958559
VMA60,0.0010436185523984,False,0.0010436185523984
CNTP60,-0.0010411597406053,False,0.0010411597406053
RSV30,0.0010323808270815,False,0.0010323808270815
VSUMD20,0.0010277629606451,False,0.0010277629606451
VSUMP20,0.0010277629606451,False,0.0010277629606451
VSUMN20,-0.0010277629606451,False,0.0010277629606451
ROC30,0.0010135430865366,False,0.0010135430865366
BETA30,0.0010016925263963,False,0.0010016925263963
RSV60,0.0009987608403263,False,0.0009987608403263
RANK20,-0.0009749717284126,False,0.0009749717284126
KSFT,-0.0009669664969428,False,0.0009669664969428
OPEN0,-0.0008922540957445,False,0.0008922540957445
KMID,0.0008572628984296,False,0.0008572628984296
IMAX20,0.0007936089857638,False,0.0007936089857638
STD20,-0.0007548773925607,False,0.0007548773925607
SUMP60,-0.0006742248912321,False,0.0006742248912321
SUMD60,-0.0006742248912314,False,0.0006742248912314
SUMN60,0.0006742248912307,False,0.0006742248912307
IMIN30,0.0006464419407907,False,0.0006464419407907
VWAP0,0.0006341894317928,False,0.0006341894317928
MAX60,-0.0005591630368257,False,0.0005591630368257
KLOW2,-0.0005476271843281,False,0.0005476271843281
BETA20,0.0004678464962559,False,0.0004678464962559
VSTD60,0.0004309059055824,False,0.0004309059055824
RANK30,-0.0002711028730214,False,0.0002711028730214
CNTN30,0.0002699321977179,False,0.0002699321977179
CNTD60,0.0002186576088843,False,0.0002186576088843
MA60,0.0002172749985679,False,0.0002172749985679
MIN20,0.0001617808617494,False,0.0001617808617494
CNTP20,0.0001590477407304,False,0.0001590477407304
STD30,-0.0001338624458369,False,0.0001338624458369
RSV20,-3.347314032178935e-05,False,3.347314032178935e-05
RANK60,-3.1221498095221466e-05,False,3.1221498095221466e-05
