symbol,company_name,sector,major_sector,SECTOR_CONSUMER,SECTOR_ENERGY,SECTOR_FINANCIAL,SECTOR_MATERIALS,SECTOR_METALS,SECTOR_OTHER,SECTOR_PHARMA,SECTOR_SERVICES
HDFCAMC,HDFC Asset Management Company Limited,Asset Management Company,OTHER,False,False,False,False,False,True,False,False
HDFCBANK,HDFC Bank Limited,Private Sector Bank,FINANCIAL,False,False,True,False,False,False,False,False
HDFCLIFE,HDFC Life Insurance Company Limited,Life Insurance,OTHER,False,False,False,False,False,True,False,False
HEROMOTOCO,Hero MotoCorp Limited,2/3 Wheelers,OTHER,False,False,False,False,False,True,False,False
HINDALCO,Hindalco Industries Limited,Aluminium,OTHER,False,False,False,False,False,True,False,False
HINDPETRO,Hindustan Petroleum Corporation Limited,Refineries & Marketing,OTHER,False,False,False,False,False,True,False,False
HINDUNILVR,Hindustan Unilever Limited,Diversified FMCG,CONSUMER,True,False,False,False,False,False,False,False
HINDZINC,Hindustan Zinc Limited,Zinc,OTHER,False,False,False,False,False,True,False,False
HUDCO,Housing & Urban Development Corporation Limited,Financial Institution,OTHER,False,False,False,False,False,True,False,False
ICICIBANK,ICICI Bank Limited,Private Sector Bank,FINANCIAL,False,False,True,False,False,False,False,False
ICICIGI,ICICI Lombard General Insurance Company Limited,General Insurance,OTHER,False,False,False,False,False,True,False,False
IDEA,Vodafone Idea Limited,Telecom - Cellular & Fixed line services,SERVICES,False,False,False,False,False,False,False,True
IDFCFIRSTB,IDFC First Bank Limited,Private Sector Bank,FINANCIAL,False,False,True,False,False,False,False,False
IGL,Indraprastha Gas Limited,LPG/CNG/PNG/LNG Supplier,OTHER,False,False,False,False,False,True,False,False
INDHOTEL,The Indian Hotels Company Limited,Hotels & Resorts,OTHER,False,False,False,False,False,True,False,False
INDIANB,Indian Bank,Public Sector Bank,FINANCIAL,False,False,True,False,False,False,False,False
INDIGO,InterGlobe Aviation Limited,Airline,OTHER,False,False,False,False,False,True,False,False
INDUSINDBK,IndusInd Bank Limited,Private Sector Bank,FINANCIAL,False,False,True,False,False,False,False,False
INDUSTOWER,Indus Towers Limited,Telecom - Infrastructure,OTHER,False,False,False,False,False,True,False,False
INFY,Infosys Limited,Computers - Software & Consulting,OTHER,False,False,False,False,False,True,False,False
